month,temp_month,precip_month,swe_month,snowdepth_month,runoff,sublimation,canopy_sublimation,snowmelt_month,evapotranspiration,abfluss,abfluss_ohne_sublimation,verdunstung_ohne_sublimation,verdunstung,model
2019-09,276.96542,15.631462,1.177302,0.0061926395,16.419043,-0.062232483,0.53377324,16.740704,0.97287863,14.91239,14.91239,1.5066519,1.4444194,wald 70p
2019-10,275.6857,1.5019372,0.10954185,0.0006154928,1.928404,1.9692993,0.008975871,1.9150449,1.9526033,-0.03317522,-0.03317522,1.9615792,3.9308786,wald 70p
2019-11,269.9863,175.04782,93.49577,0.48123902,0.52624714,0.35932153,27.639427,2.0385172,0.012201025,-27.125381,-27.125381,27.651628,28.01095,wald 70p
2019-12,269.42236,43.232086,194.43736,0.7720871,0.00013256061,2.561148,24.157993,1.4941151,0.0,-24.157862,-24.157862,24.157993,26.719143,wald 70p
2020-01,269.64395,17.890118,214.9161,0.7644163,0.0,5.9332814,6.627204,0.7577355,0.0,-6.627204,-6.627204,6.627204,12.560485,wald 70p
2020-02,269.38007,36.02238,243.31763,0.8958125,0.0054702694,7.98649,15.884609,5.2172837,0.0,-15.879139,-15.879139,15.884609,23.8711,wald 70p
2020-03,268.38037,51.162037,290.31052,1.0513446,0.0,0.6465555,10.326161,0.62717867,0.0,-10.326161,-10.326161,10.326161,10.972717,wald 70p
2020-04,273.16385,11.411418,306.0601,0.96813446,0.4791769,0.6227168,1.3186243,7.036319,0.0,-0.8394473,-0.8394473,1.3186243,1.941341,wald 70p
2020-05,274.24677,18.016186,327.71063,0.9763692,6.9605193,-1.8252326,0.7984216,17.075178,0.0,6.162098,6.162098,0.7984216,-1.026811,wald 70p
2020-06,276.45804,15.736422,331.86893,0.92548853,31.39938,-5.1879067,7.0852446e-05,44.950157,0.0,31.39931,31.39931,7.0852446e-05,-5.187836,wald 70p
2020-07,279.3717,0.0,278.84738,0.6995322,107.97635,-8.161686,0.0,107.61294,0.0,107.97635,107.97635,0.0,-8.161686,wald 70p
2020-08,279.92572,0.0,161.85379,0.3880854,108.77739,-7.8419657,0.0,106.69404,0.03343096,108.74396,108.74396,0.03343096,-7.808535,wald 70p
2020-09,277.52063,24.20628,98.440765,0.24389753,42.554,-2.520715,1.219121,46.88274,0.09068203,41.244198,41.244198,1.309803,-1.210912,wald 70p
